Resolution,1920,1080,Distance,57,Width,47.8,Subject,ACT-05208452X,Test,CC9-04202018-132722,Calibration,CC9-04202018-132722
Time(ms),GazeX(deg),GazeY(deg),StimulusX(deg),StimulusY(deg),GazeVelX(deg/s),GazeVelY(deg/s),ErrorX(deg),ErrorY(deg),PupilArea(px^2),GazeRawX(deg),GazeRawY(deg),Blinks
1815,-0.401654,13.1534,0,12.7959,2.59656,-3.86934,-0.401654,0.357461,13448,-0.372957,13.0484,0
1827,-0.3336,13.1323,0,12.7959,5.67117,-1.76096,-0.3336,0.33633,13458.2,-0.261874,13.0153,0
1835,-0.271841,13.1292,0,12.7959,7.71985,-0.378765,-0.271841,0.3333,13465.6,-0.227216,13.0156,0
1847,-0.255772,13.1306,0,12.7959,1.33903,0.109755,-0.255772,0.334617,13471,-0.312458,13.2543,0
1855,-0.250939,13.1749,0,12.7959,0.604182,5.54084,-0.250939,0.378943,13477.1,-0.294377,13.2498,0
1868,-0.261662,13.2033,0,12.7959,-0.82484,2.18299,-0.261662,0.407322,13486,-0.142413,13.2946,0
1876,-0.273407,13.2048,0,12.7959,-1.46811,0.196716,-0.273407,0.408896,13499.7,-0.283397,13.14,0
1888,-0.287634,13.2027,0,12.7959,-1.18565,-0.177206,-0.287634,0.40677,13518.5,-0.343466,13.1927,0
1895,-0.294977,13.1409,0,12.7959,-1.0489,-8.82346,-0.294977,0.345005,13541.1,-0.374257,13.0058,0
1907,-0.299218,13.0979,0,12.7959,-0.353464,-3.58612,-0.299218,0.301972,13567.6,-0.275503,13.0372,0
1915,-0.287427,13.0957,0,12.7959,1.4739,-0.277029,-0.287427,0.299756,13599,-0.264103,13.0754,0
1927,-0.250884,13.0952,0,12.7959,3.0453,-0.0450363,-0.250884,0.299215,13632.8,-0.211663,13.1846,0
1935,-0.247319,13.1133,0,12.7959,0.445594,2.26766,-0.247319,0.317357,13664.4,-0.229607,13.1265,0
1947,-0.24646,13.1141,0,12.7959,0.0715468,0.0642628,-0.24646,0.318128,13692.1,-0.201317,13.1611,0
1955,-0.228969,13.1131,0,12.7959,2.18638,-0.121301,-0.228969,0.317157,13716.3,-0.316889,13.1359,0
1967,-0.230121,13.1044,0,12.7959,-0.0960227,-0.723626,-0.230121,0.308474,13737,-0.316791,13.0872,0
1975,-0.240696,13.0762,0,12.7959,-1.32184,-3.52199,-0.240696,0.280298,13755.2,-0.194974,12.9865,0
1987,-0.240576,13.0681,0,12.7959,0.00999168,-0.678687,-0.240576,0.272154,13773.6,-0.213225,13.0469,0
1999,-0.209494,13.0582,0,12.7959,2.59017,-0.824627,-0.209494,0.262258,13794.5,-0.253893,13.053,0
2007,-0.166681,13.0488,0,12.7959,5.35162,-1.17589,-0.166681,0.252851,13816.5,0.00919549,13.061,0
2019,-0.111629,13.0422,0,12.7959,4.58766,-0.546179,-0.111629,0.246297,13836.8,-0.219317,13.0455,0
2027,-0.0801113,13.0065,0,12.7959,3.93977,-4.46959,-0.0801113,0.21054,13853.4,-0.0880551,12.914,0
